seller,transactions
0xac1c65e3f4d42f678d4067371fd03444f498457b,10
0xb76a1366b384239bb925af7e5651eb6fdad64164,10
0xc36c84301797d6e77c0faf120889c55c9928136e,10
0x9d6844dd4483c1fafd9338340109d2c500e1ae93,10
0x6af7dd75a49d3183e596b05f2d920cc31a6d74ce,9
0x35d66f2ec7912fefadcc1b22e838e4e3d2c0686d,9
0x0616fc1af41d06010702fa07601b168e9fdc3de6,9
0x6d26d8178219384e2bb2cd4cde70ebbd3c0c6341,9
0x0123456789070ce8f0d6bab722103d12674bc257,9
0x480a4ea84cb939252cda39045e07e57e22c33003,9
