buyer,transactions
0x76493c787f6b6e8acfa719ea26130e7671a34307,8
0xe9b51db4b68fa62444a88bd4632180be9021ffc5,8
0xf859d3592ce1f13f95654f960205ebeae425ef9a,8
0x896db1a20be20be6626b6cc919f65823f5abcc70,8
0x8f7981e19afa921d635695ec46875930010c6d46,8
0xf59a7462919ef3808d430b89048a889d9906190b,7
0x8223f065e1355ad965ea89d92482c6523535db5a,7
0x6adf4be66ebbb41adef71b789db279729c5bee2b,7
0x049e63ccf6b6159c2effa1c0b0af3258ee76e225,7
0xbbfb6566ad064c233af6314aeb1eee4c26a5f921,7
0x8b45a331539a3671b2b9a98434591ef56f658ae3,7
0xb189c4ee6030780f0698af82384e207bbe7ab0e7,7
0x1fc6ecda305b3d3bfbcada1c7554afdc2798bc97,7
0x2ae9f5aa8dafb6f69454c023cd88da6e78293bdf,6
0x9f7899152aff6f4e44c5c9dcbf2333ac5e6e0849,6
0xd4c3b2c29bb06483413a5a6d6d5cf3e22d04d349,6
0x6a75ac02b0a2f8e016ffda57611540022e5f1e6d,6
0x2845ede55f112af4767dfd31dbfed9497ea42841,6
0xec58c92ab1b87111ab2bcfea24ff9404c25b37c8,6
0xec9c6ec6c64d6a37047461d4016dddda13ccd264,6
0x4a61cdea18ff68613a422521b4bed650a276ddfe,6
0x20666acae72a00e7d03d0113c8392ef7c91cc91f,6
0xf16be1f62490c217cfe59849f3ff1cbc221f578b,6
0x778152fa72761fffa4970f6dc2423c2b0005c86d,6
0x19fe1cbf96cf38bd0ae84556505cef05e57857e6,6
0x191927b85017d9c807e0e82440608a5eb32723c3,6
0xd1f1851d53a6a88831c642ac886a2db525fd105c,6
0xa5ae0387ccd2f64ccd818a1801c07a42390f699e,6
0x53ba5ed7c6cce55db5cdc7ad7d8b5a478aadd976,6
0xd7e890e14d1932b2baaee2cd226368e9dd4eec83,6
0xddebcc9a3e5d9f315d6d440eecd863c4d6941184,6
0x887af394964ef1d4088f8e8ac903b28946c84ae4,6
0xb06b8a649b0dbf8b39169800bd7ca3e82a0994f6,6
0x132012e4e5614279c6b17f4a77514e93279309fb,6
0xcce2c1f2b578ee09157fdd95efb9761ec00e6953,5
0x6562bedbd60685208e92ce242c3c9f7fc1bc0e85,5
0xcbafc77e7333faad715a82fb7446a4693e4c5056,5
0x6d331e2d0b851390c460627dbfa5a86686852773,5
0x61e80237bf3eec19b746da48e98d735ae4629cef,5
0xd5d0160fed6145a2d3f6418cdcae05ae71139c01,5
0x4ca0fc1b383a3443cc585c4aab88cabcee5a15b2,5
0x4033010350b8b5c48c3cffed6f6a9ccada337040,5
0x467cda3bfc2474fe04469d334fb6d0012b5a2499,5
0x2960ace3078e0cef95cbe900587255465c1f5ca5,5
0x504f998aaa20904da32c42c6e4473d4e83a4bdca,5
0xda709f5798a5c95cf06ed377d49de8a6f6453414,5
0x5c1aa6c4f3960b13019d984b3abefd6ee97a3478,5
0x8e07f8b7716ea2130aa19e6602f0171b227c87ff,5
0x879886b2b98b7fbde2e2240af1c4824f6528e5ca,5
0x848d63cf8a88da050f48da639d888efe9adf8c67,5
0x7895196a6ce45f19870faef9f835c96ec4eaa1e9,5
0xbf1fad53ec61197fe4704c8a70445ed5b5c0daf4,5
